osm_id	feature_type	name_en	native_names	languages	osm_url
way/1454566501	amenity=college	Northwest Indian College	XWLEMI ELH>TAL>NEXW SQUL [Straits Salish]	Straits Salish	https://www.openstreetmap.org/way/1454566501
way/270782623	highway=residential	Ashas Court	ʔəšás súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/270782623
way/380711330	highway=residential	Charles Hopie Lane	ƛ̕əmƛ̕úmiq súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/380711330
way/291475944	highway=residential	Cubby Sparks Place Northeast	ɬáwəstən swʷʔiyá [Klallam]	Klallam	https://www.openstreetmap.org/way/291475944
way/12218149	highway=residential	East Morton Street	stidigʷəd [Lushootseed]	Lushootseed	https://www.openstreetmap.org/way/12218149
way/5855265	highway=residential	Hupt Road - húʔpt súɬ	húʔpt súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/5855265
way/5857112	highway=residential	John Mike Road	stáwəxn súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/5857112
way/270782627	highway=residential	Killer Whale Lane	q̕ɬúməčən súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/270782627
way/291475946	highway=residential	Kloomachin Place Northeast	q̕ɬúməčən swʷʔiyá [Klallam]	Klallam	https://www.openstreetmap.org/way/291475946
way/5858327	highway=residential	Kweynesen Road	k̕ʷə́yŋsən súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/5858327
way/270782628	highway=residential	Lilu Lane	ʔəlíluʔ súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/270782628
way/5862266	highway=residential	Mimwheeten Way	mímxʷtən súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/5862266
way/5859570	highway=residential	North Oak Street	čáʔŋəɬč súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/5859570
way/5857611	highway=residential	Ns'Klallam Drive	nəχʷsƛ̕ay̕əm̕ súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/5857611
way/270782625	highway=residential	Pew Lane	píxʷ súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/270782625
way/5858333	highway=residential	Sea Wind Drive	ƛ̕ɬáɬc sčúŋ súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/5858333
way/5857603	highway=residential	Snowcaps Lane	ŋaqaʔéʔqʷ súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/5857603
way/386694686	highway=residential	Sockeye Way	scə́qiʔ súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/386694686
way/270782622	highway=residential	Spokwes Drive	sxʷp̕úqʷs súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/270782622
way/5858340	highway=residential	West Railroad Avenue	lilút súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/5858340
way/23349398	highway=secondary	East Portland Avenue	dukʷibəɫ [Lushootseed]	Lushootseed	https://www.openstreetmap.org/way/23349398
way/5917014	highway=secondary	Little Boston Road Northeast	nəxʷq̕íyt súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/5917014
way/5913576	highway=secondary	Northeast Little Boston Road	nəxʷq̕íyt súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/5913576
way/5854560	highway=secondary	West Front Street	shéʔu súɬ [Klallam]	Klallam	https://www.openstreetmap.org/way/5854560
way/30922391	highway=unclassified	Little Canoe Channel Northeast	sluʔwiɫ [Lushootseed]	Lushootseed	https://www.openstreetmap.org/way/30922391
relation/1240950	leisure=park	Herring's House Park	Tul' altxʷ [Lushootseed]	Lushootseed	https://www.openstreetmap.org/relation/1240950
way/389154585	leisure=park	Pebble Beach Park	sŋaʔŋáʔant cáwŋən ʔəssaqɬúŋt [Klallam]	Klallam	https://www.openstreetmap.org/way/389154585
way/1053828602	leisure=park	Tribal Gathering Place	snt'el'ʔemin'tn [Spokane]	Spokane	https://www.openstreetmap.org/way/1053828602
way/461272319	leisure=park	ƛ̕ax̌ʷadis Park	ƛ̕ax̌ʷadis [Lushootseed]	Lushootseed	https://www.openstreetmap.org/way/461272319
node/2297382108	natural=cape	Point Hudson	qám̓qəm̓ [Klallam]	Klallam	https://www.openstreetmap.org/node/2297382108
node/4664641159	natural=cape	Wing Point	ləx̌ilqs [Lushootseed]	Lushootseed	https://www.openstreetmap.org/node/4664641159
node/356546426	natural=peak	Mount Si	q̓əlbc̓ [Lushootseed]	Lushootseed	https://www.openstreetmap.org/node/356546426
node/407704884	natural=spring	Licton Springs	líq’tәd [Lushootseed]	Lushootseed	https://www.openstreetmap.org/node/407704884
node/356544063	natural=volcano	Mount Adams	Pahto [Yakama]	Yakama	https://www.openstreetmap.org/node/356544063
node/268503104	natural=volcano	Mount Baker	Kwelshán [Straits Salish]	Straits Salish	https://www.openstreetmap.org/node/268503104
node/1744903493	natural=volcano	Mount Rainier	Tahoma [Lushootseed]	Lushootseed	https://www.openstreetmap.org/node/1744903493
node/356546327	natural=volcano	Mount Saint Helens	Loowit [Yakama]	Yakama	https://www.openstreetmap.org/node/356546327
relation/1240970	natural=water	Duwamish River	Dxʷ'dəw [Lushootseed]	Lushootseed	https://www.openstreetmap.org/relation/1240970
relation/2793848	natural=water	Lake Washington	Xacuabš [Lushootseed] | Hyas Chuck [Chinook Jargon]	Lushootseed, Chinook Jargon	https://www.openstreetmap.org/relation/2793848
way/115424809	natural=water	Miller Lake	qʷəlul̕t [Lushootseed]	Lushootseed	https://www.openstreetmap.org/way/115424809
relation/237385	place=city	Seattle	dᶻidᶻəlal̕ič [Lushootseed]	Lushootseed	https://www.openstreetmap.org/relation/237385
relation/237599	place=city	Spokane	tikemtuustim [Nez Perce]	Nez Perce	https://www.openstreetmap.org/relation/237599
node/48723103	place=city	Vancouver	skichutxwa [Chinook Jargon]	Chinook Jargon	https://www.openstreetmap.org/node/48723103
